,Name,Industry,Sector,Headquarters,Founded,Notes,Status_Type,Status_State
275,"Modern Coach Factory, Raebareli",Industrials,Railroad equipment,Raebareli,2012,Part of Indian Railways,S,A
276,MOIL,Basic materials,General mining,Nagpur,1962,Mining,S,A
277,Moser Baer,Technology,Computer hardware,New Delhi,1983,"Defunct in 2018, acquired by Vinpower, Inc. (USA)",P,D
278,Mother Dairy,Consumer goods,Food products,Noida,1974,Dairy,S,A
279,Mphasis,Industrials,Business support services,Bengaluru,2000,"Consulting, outsourcing",P,A
280,MRF,Consumer goods,Tires,Chennai,1946,Tyres,P,A
281,MS Shoes,Consumer goods,Footwear,Delhi,1986,Footwear,P,A
282,MSTC Limited,Technology,Consumer digital services,Kolkata,1964,"Metal trading, e-commerce",S,A
283,Mukand,Basic materials,Iron & steel,Mumbai,1937,Steel,P,A
284,Munitions India,Industrials,Defense,Kanpur,2021,Munitions,S,A
285,Murugappa Group,Conglomerate,—,Chennai,1900,"Cycles, general insurance, fertilizers, abrasives, automotive chains, car door frames, steel tubes & gearboxes",P,A
286,Muthoot Finance,Financials,Investment services,Kochi,1939,"Financial advice, trading",P,A
287,Myntra,Technology,Consumer digital services,Bengaluru,2009,E-commerce,P,A
288,National Aluminium Company,Basic materials,Aluminium,Bhubaneswar,1981,Aluminium,S,A
289,National Fertilizers,Chemicals,Fertilizers,Noida,1974,Fertilizers,S,A
290,National Mineral Development Corporation,Basic materials,General mining,Hyderabad,1958,Mining,S,A
291,National Payments Corporation of India,Technology,Consumer digital services,Mumbai,2008,Digital payment,S,A
292,Nayara Energy,Energy,Oil refining & marketing,Mumbai,2017,"Major stock owned by Rosneft (Russia), 49.13%",P,A
293,NBC Bearings,Industrials,Electrical equipment & components,Jaipur,1946,Bearings,P,A
294,NBCC,Real estate,Real estate holding & development,New Delhi,1960,State-owned developer,S,A
295,NDTV,Consumer services,Broadcasting & entertainment,New Delhi,1988,Television,P,A
296,Network18 Group,Consumer services,Broadcasting & entertainment,Noida,1993,"Mass media, part of Reliance Industries",P,A
297,NHPC,Utilities,Conventional electricity,Faridabad,1975,Hydroelectric,S,A
298,NIIT,Industrials,Business support services,Gurugram,1981,Consulting,P,A
299,Nilkamal Plastics,Chemicals,Specialty chemicals,Mumbai,1981,Industrial and consumer plastics,P,A
300,Nirma,Chemicals,Specialty chemicals,Ahmedabad,1990,"Chemicals, cement, fast moving consumer goods",P,A
301,NLC India Limited,Utilities,Conventional electricity,Neyveli,1956,Thermal power generation,S,A
302,NTPC Limited,Utilities,Conventional electricity,New Delhi,1975,Thermal power generation,S,A
303,Nuclear Power Corporation of India,Utilities,Conventional electricity,Mumbai,1987,State nuclear power generation,S,A
304,Nykaa,Technology,Consumer digital services,Mumbai,2012,"Online beauty products, e-commerce",P,A
305,Oil and Natural Gas Corporation,Energy,Integrated oil & gas,Dehradun,1956,State oil & gas exploration and production,S,A
306,Oil India,Energy,Integrated oil & gas,Duliajan,1959,Oil exploration and production,S,A
307,Ola Electric,Consumer goods,Automobiles,Bengaluru,2017,"Motorcycles, electric vehicles",P,A
308,Omega Seiki Mobility,Consumer goods,Automobiles,New Delhi,2018,"Automotive, electric vehicles",P,A
309,One97 Communications,Technology,Consumer digital services,Noida,2000,Ecommerce and fintech,P,A
